"filename", "language", "Python", "HTML", "CSS", "XML", "JavaScript", "pip requirements", "comment", "blank", "total"
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/core/static/js/backoffice/chart.js", "JavaScript", 0, 0, 0, 0, 47, 0, 3, 6, 56
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/core/static/js/scheduler/date-picker.js", "JavaScript", 0, 0, 0, 0, 58, 0, 8, 9, 75
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/core/static/js/scheduler/modal.js", "JavaScript", 0, 0, 0, 0, 18, 0, 3, 3, 24
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/core/static/js/scheduler/submit-form.js", "JavaScript", 0, 0, 0, 0, 49, 0, 9, 4, 62
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/core/templates/accounts/login.html", "HTML", 0, 35, 0, 0, 0, 0, 2, 8, 45
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/core/templates/accounts/register.html", "HTML", 0, 70, 0, 0, 0, 0, 11, 4, 85
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/core/templates/admin/admin-base.html", "HTML", 0, 71, 0, 0, 0, 0, 6, 6, 83
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/core/templates/admin/dashboard.html", "HTML", 0, 143, 0, 0, 0, 0, 5, 23, 171
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/core/templates/admin/employees.html", "HTML", 0, 45, 0, 0, 0, 0, 2, 9, 56
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/core/templates/admin/includes/add-modal.html", "HTML", 0, 73, 0, 0, 0, 0, 3, 1, 77
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/core/templates/admin/includes/edit-modal.html", "HTML", 0, 72, 0, 0, 0, 0, 4, 3, 79
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/core/templates/admin/includes/sidebar.html", "HTML", 0, 96, 0, 0, 0, 0, 0, 2, 98
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/core/templates/admin/settings/change-password.html", "HTML", 0, 58, 0, 0, 0, 0, 2, 2, 62
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/core/templates/admin/settings/edit-profile.html", "HTML", 0, 49, 0, 0, 0, 0, 2, 2, 53
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/core/templates/admin/settings/email-change.html", "HTML", 0, 54, 0, 0, 0, 0, 2, 2, 58
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/core/templates/admin/settings/permissions.html", "HTML", 0, 43, 0, 0, 0, 0, 0, 14, 57
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/core/templates/admin/settings/settings.html", "HTML", 0, 45, 0, 0, 0, 0, 0, 7, 52
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/core/templates/admin/transactions.html", "HTML", 0, 77, 0, 0, 0, 0, 0, 17, 94
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/core/templates/barber/base.html", "HTML", 0, 45, 0, 0, 0, 0, 4, 5, 54
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/core/templates/barber/dashboard.html", "HTML", 0, 38, 0, 0, 0, 0, 13, 8, 59
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/core/templates/barber/default-schedule.html", "HTML", 0, 67, 0, 0, 0, 0, 5, 9, 81
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/core/templates/barber/edit-schedule.html", "HTML", 0, 62, 0, 0, 0, 0, 4, 5, 71
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/core/templates/barber/includes/create-appointment.html", "HTML", 0, 71, 0, 0, 0, 0, 3, 1, 75
